Name,Code,Description,Family,Benchmark
Aberdeen UK All Share Tracker Class B - Accumulation,GB00B76B9Y24,Aberdeen UK All Share Tracker,FTSE All Share Index,
Artemis Strategic Assets Inclusive - Class R - Accumulation,GB00B3VDDQ59,Artemis Strategic Assets R,Artemis Strategic Assets,
AXA Framlington Biotech Class Z,GB00B784NS11,AXA Framlington Biotech Z,AXA Framlington Biotech,
Barings German Growth Inclusive - Class A - Accumulation,GB0000822576,Barings German Growth A,Barings German Growth,
db X-trackers MSCI World Index,XWLD,DBXT MSCI World,MSCI World,
Fidelity Asia Inclusive - Class A - Accumulation,,,,
HL Multi-Manager Special Situations Trust Class A,GB0030281066,HL MM Special Situations A,HL MM Special Situations,
iShares Emerging Markets Equity Index Class H,GB00BJL5BW59,iShares EM Equity,FTSE EM,
Legal & General International Index Trust Class C ,GB00BG0QP604,L&G International ,FTSE World ex UK,
Liontrust Macro Equity Income Inclusive - Class R - Accumulation,,,,
Man GLG Japan CoreAlpha Equity Class I,IE00B64XDT64,Man GLG Japan Core Alpha I,Man GLG Japan Core Alpha,
Man GLG Japan CoreAlpha Inclusive - Class A,GB00B0119933,Man GLG Japan Core Alpha A,Man GLG Japan Core Alpha,
Man GLG Technology Equity Professional Class - Accumulation,,,,
Marlborough Nano-Cap Growth Class P,GB00BF2ZV048,Marlborough Nano-Cap Growth P,Marlborough Nano-Cap,
Marlborough Nano-Cap Growth Inclusive - Class A,GB00BF2ZTX37,Marlborough Nano-Cap Growth A,Marlborough Nano-Cap,
Newton Asian Income Inclusive - Income,,,,
Newton Real Return Class W,GB00B7W36529,Newton Real Return W,Newton Real Return,
Newton Real Return Inclusive - Class A,GB0001642635,Newton Real Return A,Newton Real Return,
Schroder UK Dynamic Smaller Companies Class Z,GB0007220360,Schroder UK Smaller Companies Z,Schroder UK Smaller Companies,
Schroder UK Dynamic Smaller Companies Inclusive - Class A,GB0031092942,Schroder UK Smaller Companies A,Schroder UK Smaller Companies,
Schroder UK Dynamic Smaller Companies Inclusive - Class A - Accumulation,,,,
Stewart Investors Asia Pacific Leaders Class B,GB0033874768,SI Asia Pacific Leaders B I,SI Asia Pacific Leaders,
Woodford Patient Capital,WPCT,Woodford Patient Capital,Private Equity,
